rq,condition,seed,metric,value
RQ1,B0_heldout,42,accuracy,0.7878787878668503
RQ1,B0_heldout,42,precision,0.9230769230414201
RQ1,B0_heldout,42,recall,0.6666666666481482
RQ1,B0_heldout,42,f1,0.7741935478751302
RQ1,B0_heldout,42,fn_rate,0.3333333333240741
RQ1,B0_heldout,42,auc,0.950925925925926
RQ1,B0_heldout,42,TP,24
RQ1,B0_heldout,42,FP,2
RQ1,B0_heldout,42,FN,12
RQ1,B0_heldout,42,TN,28
RQ1,B0_heldout,42,n,66
RQ1,B0_heldout,42,n_mal,36
RQ1,B0_heldout,42,n_ben,30
RQ1,B0_heldout,42,n_skipped,0
RQ1,B0_heldout,42,mean_latency_ms,12.52781236403142
RQ1,B0_heldout,43,accuracy,0.7878787878668503
RQ1,B0_heldout,43,precision,0.9230769230414201
RQ1,B0_heldout,43,recall,0.6666666666481482
RQ1,B0_heldout,43,f1,0.7741935478751302
RQ1,B0_heldout,43,fn_rate,0.3333333333240741
RQ1,B0_heldout,43,auc,0.950925925925926
RQ1,B0_heldout,43,TP,24
RQ1,B0_heldout,43,FP,2
RQ1,B0_heldout,43,FN,12
RQ1,B0_heldout,43,TN,28
RQ1,B0_heldout,43,n,66
RQ1,B0_heldout,43,n_mal,36
RQ1,B0_heldout,43,n_ben,30
RQ1,B0_heldout,43,n_skipped,0
RQ1,B0_heldout,43,mean_latency_ms,11.592094814687064
RQ1,B0_heldout,44,accuracy,0.7878787878668503
RQ1,B0_heldout,44,precision,0.9230769230414201
RQ1,B0_heldout,44,recall,0.6666666666481482
RQ1,B0_heldout,44,f1,0.7741935478751302
RQ1,B0_heldout,44,fn_rate,0.3333333333240741
RQ1,B0_heldout,44,auc,0.950925925925926
RQ1,B0_heldout,44,TP,24
RQ1,B0_heldout,44,FP,2
RQ1,B0_heldout,44,FN,12
RQ1,B0_heldout,44,TN,28
RQ1,B0_heldout,44,n,66
RQ1,B0_heldout,44,n_mal,36
RQ1,B0_heldout,44,n_ben,30
RQ1,B0_heldout,44,n_skipped,0
RQ1,B0_heldout,44,mean_latency_ms,10.898739501664584
RQ1,B1_heldout_MARL,42,accuracy,0.9242424242284205
RQ1,B1_heldout_MARL,42,precision,0.9428571428302042
RQ1,B1_heldout_MARL,42,recall,0.9166666666412038
RQ1,B1_heldout_MARL,42,f1,0.9295774642626463
RQ1,B1_heldout_MARL,42,fn_rate,0.08333333333101853
RQ1,B1_heldout_MARL,42,auc,0.975925925925926
RQ1,B1_heldout_MARL,42,TP,33
RQ1,B1_heldout_MARL,42,FP,2
RQ1,B1_heldout_MARL,42,FN,3
RQ1,B1_heldout_MARL,42,TN,28
RQ1,B1_heldout_MARL,42,n,66
RQ1,B1_heldout_MARL,42,n_mal,36
RQ1,B1_heldout_MARL,42,n_ben,30
RQ1,B1_heldout_MARL,42,n_skipped,0
RQ1,B1_heldout_MARL,42,mean_latency_ms,6.423934842600967
RQ1,B1_heldout_MARL,42,recovery_rate,0.75
RQ1,B1_heldout_MARL,42,retention,1.0
RQ1,B1_heldout_MARL,42,delta_f1,0.15538391638751614
RQ1,B1_heldout_MARL,42,delta_recall,0.24999999999305555
RQ1,B1_heldout_MARL,42,episodes_to_nash,14
RQ1,B1_heldout_MARL,43,accuracy,0.7878787878668503
RQ1,B1_heldout_MARL,43,precision,0.9230769230414201
RQ1,B1_heldout_MARL,43,recall,0.6666666666481482
RQ1,B1_heldout_MARL,43,f1,0.7741935478751302
RQ1,B1_heldout_MARL,43,fn_rate,0.3333333333240741
RQ1,B1_heldout_MARL,43,auc,0.950925925925926
RQ1,B1_heldout_MARL,43,TP,24
RQ1,B1_heldout_MARL,43,FP,2
RQ1,B1_heldout_MARL,43,FN,12
RQ1,B1_heldout_MARL,43,TN,28
RQ1,B1_heldout_MARL,43,n,66
RQ1,B1_heldout_MARL,43,n_mal,36
RQ1,B1_heldout_MARL,43,n_ben,30
RQ1,B1_heldout_MARL,43,n_skipped,0
RQ1,B1_heldout_MARL,43,mean_latency_ms,6.104599585700216
RQ1,B1_heldout_MARL,43,recovery_rate,0.0
RQ1,B1_heldout_MARL,43,retention,1.0
RQ1,B1_heldout_MARL,43,delta_f1,0.0
RQ1,B1_heldout_MARL,43,delta_recall,0.0
RQ1,B1_heldout_MARL,43,episodes_to_nash,16
RQ1,B1_heldout_MARL,44,accuracy,0.833333333320707
RQ1,B1_heldout_MARL,44,precision,0.931034482726516
RQ1,B1_heldout_MARL,44,recall,0.7499999999791668
RQ1,B1_heldout_MARL,44,f1,0.8307692302494674
RQ1,B1_heldout_MARL,44,fn_rate,0.24999999999305558
RQ1,B1_heldout_MARL,44,auc,0.9564814814814815
RQ1,B1_heldout_MARL,44,TP,27
RQ1,B1_heldout_MARL,44,FP,2
RQ1,B1_heldout_MARL,44,FN,9
RQ1,B1_heldout_MARL,44,TN,28
RQ1,B1_heldout_MARL,44,n,66
RQ1,B1_heldout_MARL,44,n_mal,36
RQ1,B1_heldout_MARL,44,n_ben,30
RQ1,B1_heldout_MARL,44,n_skipped,0
RQ1,B1_heldout_MARL,44,mean_latency_ms,5.906861211935228
RQ1,B1_heldout_MARL,44,recovery_rate,0.25
RQ1,B1_heldout_MARL,44,retention,1.0
RQ1,B1_heldout_MARL,44,delta_f1,0.05657568237433719
RQ1,B1_heldout_MARL,44,delta_recall,0.08333333333101856
RQ1,B1_heldout_MARL,44,episodes_to_nash,14
